GD Note,TYPE,TITLE,DESCRIPTION,LATITUDE,LONGITUDE,DELAY,EXTERNALID,UUID,,Desired Altitude,Alert on Map Screen,AR Marker,Coordinates for maps,AREA,CODE,INCIDENT_ID,PRIORITY
Breaker Operation reported in Seaside,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.52478761,-122.32166354,196,UTIL1079,,,50 ft,YES,YES,"37.52478761, -122.32166354",Seaside,UTIL,UTIL1079,Low
Leaning Pole reported in Suburban,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.531334,-122.3379789,18,UTIL1080,,,50 ft,YES,YES,"37.531334, -122.3379789",Suburban,UTIL,UTIL1080,Low
Fuse Blown reported in Industrial,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.53998901,-122.32367643,12,UTIL1081,,,50 ft,YES,YES,"37.53998901, -122.32367643",Industrial,UTIL,UTIL1081,Critical
Downed Power Line reported in Seaside,INCIDENT,Downed Power Line,Live wire reported on the ground,37.53292884,-122.32788463,108,UTIL1082,,,50 ft,YES,YES,"37.53292884, -122.32788463",Seaside,UTIL,UTIL1082,High
Voltage Irregularity reported in Seaside,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.53828076,-122.32957354,121,UTIL1083,,,50 ft,YES,YES,"37.53828076, -122.32957354",Seaside,UTIL,UTIL1083,Critical
Switch Malfunction reported in Central,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.5355344,-122.3324999,174,UTIL1084,,,50 ft,YES,YES,"37.5355344, -122.3324999",Central,UTIL,UTIL1084,High
Low Wire reported in Uptown,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.53867362,-122.33004037,110,UTIL1085,,,50 ft,YES,YES,"37.53867362, -122.33004037",Uptown,UTIL,UTIL1085,High
Gas Leak reported in Rural,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.53673823,-122.32891055,164,UTIL1086,,,50 ft,YES,YES,"37.53673823, -122.32891055",Rural,UTIL,UTIL1086,Low
Equipment Failure reported in Central,INCIDENT,Equipment Failure,Component failure at distribution station,37.5245808,-122.33073649,4,UTIL1087,,,50 ft,YES,YES,"37.5245808, -122.33073649",Central,UTIL,UTIL1087,Critical
Fuse Blown reported in Seaside,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.53833634,-122.32797898,23,UTIL1088,,,50 ft,YES,YES,"37.53833634, -122.32797898",Seaside,UTIL,UTIL1088,Medium
Low Wire reported in Seaside,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.52287719,-122.32759845,175,UTIL1089,,,50 ft,YES,YES,"37.52287719, -122.32759845",Seaside,UTIL,UTIL1089,Medium
Low Wire reported in Central,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.52892855,-122.32436194,116,UTIL1090,,,50 ft,YES,YES,"37.52892855, -122.32436194",Central,UTIL,UTIL1090,High
Transformer Failure reported in Uptown,INCIDENT,Transformer Failure,Multiple customers without power,37.53957042,-122.32569049,84,UTIL1091,,,50 ft,YES,YES,"37.53957042, -122.32569049",Uptown,UTIL,UTIL1091,Critical
Transformer Explosion reported in Central,INCIDENT,Transformer Explosion,Transformer explosion with fire risk,37.52134668,-122.32676419,72,UTIL1092,,,50 ft,YES,YES,"37.52134668, -122.32676419",Central,UTIL,UTIL1092,Low
Transformer Explosion reported in Central,INCIDENT,Transformer Explosion,Transformer explosion with fire risk,37.5332946,-122.32286236,171,UTIL1093,,,50 ft,YES,YES,"37.5332946, -122.32286236",Central,UTIL,UTIL1093,Medium
Storm Damage reported in Suburban,INCIDENT,Storm Damage,Power infrastructure damaged by severe weather,37.5268038,-122.33292813,59,UTIL1094,,,50 ft,YES,YES,"37.5268038, -122.33292813",Suburban,UTIL,UTIL1094,Medium
Fuse Blown reported in Uptown,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.535278,-122.33585998,199,UTIL1095,,,50 ft,YES,YES,"37.535278, -122.33585998",Uptown,UTIL,UTIL1095,Critical
Voltage Irregularity reported in Suburban,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.53245219,-122.33881397,114,UTIL1096,,,50 ft,YES,YES,"37.53245219, -122.33881397",Suburban,UTIL,UTIL1096,Low
Cable Fault reported in Suburban,INCIDENT,Cable Fault,Underground cable suspected fault,37.52533511,-122.33762183,195,UTIL1097,,,50 ft,YES,YES,"37.52533511, -122.33762183",Suburban,UTIL,UTIL1097,Critical
Switch Malfunction reported in Suburban,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.53560987,-122.32476158,90,UTIL1098,,,50 ft,YES,YES,"37.53560987, -122.32476158",Suburban,UTIL,UTIL1098,Medium
Switch Malfunction reported in Downtown,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.52029889,-122.33430946,63,UTIL1099,,,50 ft,YES,YES,"37.52029889, -122.33430946",Downtown,UTIL,UTIL1099,Critical
Storm Damage reported in Central,INCIDENT,Storm Damage,Power infrastructure damaged by severe weather,37.52345093,-122.33450714,187,UTIL1100,,,50 ft,YES,YES,"37.52345093, -122.33450714",Central,UTIL,UTIL1100,Medium
Transformer Explosion reported in Seaside,INCIDENT,Transformer Explosion,Transformer explosion with fire risk,37.52087812,-122.33016347,20,UTIL1101,,,50 ft,YES,YES,"37.52087812, -122.33016347",Seaside,UTIL,UTIL1101,Low
Voltage Irregularity reported in Uptown,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.52526201,-122.3317682,134,UTIL1102,,,50 ft,YES,YES,"37.52526201, -122.3317682",Uptown,UTIL,UTIL1102,Medium
Transformer Explosion reported in Rural,INCIDENT,Transformer Explosion,Transformer explosion with fire risk,37.53401762,-122.33331777,197,UTIL1103,,,50 ft,YES,YES,"37.53401762, -122.33331777",Rural,UTIL,UTIL1103,Critical
Transformer Explosion reported in Uptown,INCIDENT,Transformer Explosion,Transformer explosion with fire risk,37.52565549,-122.33333892,13,UTIL1104,,,50 ft,YES,YES,"37.52565549, -122.33333892",Uptown,UTIL,UTIL1104,Critical
Car Hit Pole reported in Industrial,INCIDENT,Car Hit Pole,Vehicle collision with utility pole,37.52889226,-122.32233803,31,UTIL1105,,,50 ft,YES,YES,"37.52889226, -122.32233803",Industrial,UTIL,UTIL1105,Medium
Transformer Failure reported in Central,INCIDENT,Transformer Failure,Multiple customers without power,37.5305707,-122.33815573,123,UTIL1106,,,50 ft,YES,YES,"37.5305707, -122.33815573",Central,UTIL,UTIL1106,High
Gas Leak reported in Rural,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.53719901,-122.3210324,105,UTIL1107,,,50 ft,YES,YES,"37.53719901, -122.3210324",Rural,UTIL,UTIL1107,High
Breaker Operation reported in Suburban,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.52904022,-122.33433348,142,UTIL1108,,,50 ft,YES,YES,"37.52904022, -122.33433348",Suburban,UTIL,UTIL1108,High
Fuse Blown reported in Suburban,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.53854639,-122.32417697,157,UTIL1109,,,50 ft,YES,YES,"37.53854639, -122.32417697",Suburban,UTIL,UTIL1109,High
Leaning Pole reported in Rural,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.52982813,-122.33882257,47,UTIL1110,,,50 ft,YES,YES,"37.52982813, -122.33882257",Rural,UTIL,UTIL1110,Low
Breaker Operation reported in Uptown,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.52256611,-122.33913614,112,UTIL1111,,,50 ft,YES,YES,"37.52256611, -122.33913614",Uptown,UTIL,UTIL1111,Medium
Transformer Failure reported in Seaside,INCIDENT,Transformer Failure,Multiple customers without power,37.53218045,-122.33600674,98,UTIL1112,,,50 ft,YES,YES,"37.53218045, -122.33600674",Seaside,UTIL,UTIL1112,Low
Tree Encroachment reported in Central,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.5211307,-122.32018681,79,UTIL1113,,,50 ft,YES,YES,"37.5211307, -122.32018681",Central,UTIL,UTIL1113,Medium
Fuse Blown reported in Downtown,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.534096,-122.32970596,145,UTIL1114,,,50 ft,YES,YES,"37.534096, -122.32970596",Downtown,UTIL,UTIL1114,Medium
Breaker Operation reported in Industrial,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.52870923,-122.33687512,125,UTIL1115,,,50 ft,YES,YES,"37.52870923, -122.33687512",Industrial,UTIL,UTIL1115,Medium
Leaning Pole reported in Seaside,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.53893871,-122.33321209,92,UTIL1116,,,50 ft,YES,YES,"37.53893871, -122.33321209",Seaside,UTIL,UTIL1116,Critical
Routine Inspection reported in Uptown,INCIDENT,Routine Inspection,Scheduled maintenance check,37.53232696,-122.32355322,54,UTIL1117,,,50 ft,YES,YES,"37.53232696, -122.32355322",Uptown,UTIL,UTIL1117,Medium
Equipment Failure reported in Central,INCIDENT,Equipment Failure,Component failure at distribution station,37.53491823,-122.33780996,23,UTIL1118,,,50 ft,YES,YES,"37.53491823, -122.33780996",Central,UTIL,UTIL1118,Medium
Breaker Operation reported in Downtown,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.53126284,-122.33554976,82,UTIL1119,,,50 ft,YES,YES,"37.53126284, -122.33554976",Downtown,UTIL,UTIL1119,Critical
Routine Inspection reported in Seaside,INCIDENT,Routine Inspection,Scheduled maintenance check,37.53676556,-122.32130798,149,UTIL1120,,,50 ft,YES,YES,"37.53676556, -122.32130798",Seaside,UTIL,UTIL1120,Medium
Meter Inspection reported in Downtown,INCIDENT,Meter Inspection,Routine inspection of residential meters,37.53377153,-122.33183263,181,UTIL1121,,,50 ft,YES,YES,"37.53377153, -122.33183263",Downtown,UTIL,UTIL1121,Medium
Transformer Explosion reported in Suburban,INCIDENT,Transformer Explosion,Transformer explosion with fire risk,37.52016571,-122.32992326,186,UTIL1122,,,50 ft,YES,YES,"37.52016571, -122.32992326",Suburban,UTIL,UTIL1122,Low
Voltage Irregularity reported in Uptown,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.52413722,-122.32990768,46,UTIL1123,,,50 ft,YES,YES,"37.52413722, -122.32990768",Uptown,UTIL,UTIL1123,Low
Fuse Blown reported in Uptown,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.5381329,-122.32004593,175,UTIL1124,,,50 ft,YES,YES,"37.5381329, -122.32004593",Uptown,UTIL,UTIL1124,High
Equipment Failure reported in Suburban,INCIDENT,Equipment Failure,Component failure at distribution station,37.53353896,-122.33979599,68,UTIL1125,,,50 ft,YES,YES,"37.53353896, -122.33979599",Suburban,UTIL,UTIL1125,High
Gas Leak reported in Industrial,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.53747331,-122.32037312,131,UTIL1126,,,50 ft,YES,YES,"37.53747331, -122.32037312",Industrial,UTIL,UTIL1126,Critical
Breaker Operation reported in Industrial,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.52102211,-122.32814045,182,UTIL1127,,,50 ft,YES,YES,"37.52102211, -122.32814045",Industrial,UTIL,UTIL1127,Low
Gas Leak reported in Uptown,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.53282991,-122.33120245,45,UTIL1128,,,50 ft,YES,YES,"37.53282991, -122.33120245",Uptown,UTIL,UTIL1128,Medium
Downed Power Line reported in Downtown,INCIDENT,Downed Power Line,Live wire reported on the ground,37.5271749,-122.32002046,85,UTIL1129,,,50 ft,YES,YES,"37.5271749, -122.32002046",Downtown,UTIL,UTIL1129,High
Equipment Failure reported in Suburban,INCIDENT,Equipment Failure,Component failure at distribution station,37.53001307,-122.32392733,104,UTIL1130,,,50 ft,YES,YES,"37.53001307, -122.32392733",Suburban,UTIL,UTIL1130,Low
Voltage Irregularity reported in Uptown,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.52720018,-122.33795537,18,UTIL1131,,,50 ft,YES,YES,"37.52720018, -122.33795537",Uptown,UTIL,UTIL1131,Medium
Transformer Failure reported in Seaside,INCIDENT,Transformer Failure,Multiple customers without power,37.53416211,-122.33322089,182,UTIL1132,,,50 ft,YES,YES,"37.53416211, -122.33322089",Seaside,UTIL,UTIL1132,High
Low Wire reported in Rural,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.53114213,-122.33472662,1,UTIL1133,,,50 ft,YES,YES,"37.53114213, -122.33472662",Rural,UTIL,UTIL1133,Low
Routine Inspection reported in Suburban,INCIDENT,Routine Inspection,Scheduled maintenance check,37.53915009,-122.32385375,112,UTIL1134,,,50 ft,YES,YES,"37.53915009, -122.32385375",Suburban,UTIL,UTIL1134,Critical
Breaker Operation reported in Seaside,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.5225505,-122.33498498,138,UTIL1135,,,50 ft,YES,YES,"37.5225505, -122.33498498",Seaside,UTIL,UTIL1135,Low
Downed Power Line reported in Industrial,INCIDENT,Downed Power Line,Live wire reported on the ground,37.52909551,-122.32185473,17,UTIL1136,,,50 ft,YES,YES,"37.52909551, -122.32185473",Industrial,UTIL,UTIL1136,Medium
Substation Fire reported in Rural,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.52210374,-122.32627342,170,UTIL1137,,,50 ft,YES,YES,"37.52210374, -122.32627342",Rural,UTIL,UTIL1137,Critical
Low Wire reported in Central,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.53291815,-122.33227584,162,UTIL1138,,,50 ft,YES,YES,"37.53291815, -122.33227584",Central,UTIL,UTIL1138,Medium
Tree Encroachment reported in Industrial,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.52555171,-122.32622183,14,UTIL1139,,,50 ft,YES,YES,"37.52555171, -122.32622183",Industrial,UTIL,UTIL1139,Low
Storm Damage reported in Uptown,INCIDENT,Storm Damage,Power infrastructure damaged by severe weather,37.53209111,-122.33413558,69,UTIL1140,,,50 ft,YES,YES,"37.53209111, -122.33413558",Uptown,UTIL,UTIL1140,Critical
Switch Malfunction reported in Industrial,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.52898538,-122.33715457,18,UTIL1141,,,50 ft,YES,YES,"37.52898538, -122.33715457",Industrial,UTIL,UTIL1141,Low
Low Wire reported in Central,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.53797071,-122.32343716,94,UTIL1142,,,50 ft,YES,YES,"37.53797071, -122.32343716",Central,UTIL,UTIL1142,Medium
Switch Malfunction reported in Uptown,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.5285394,-122.32138126,64,UTIL1143,,,50 ft,YES,YES,"37.5285394, -122.32138126",Uptown,UTIL,UTIL1143,Low
Voltage Irregularity reported in Rural,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.53592312,-122.33479143,66,UTIL1144,,,50 ft,YES,YES,"37.53592312, -122.33479143",Rural,UTIL,UTIL1144,High
Car Hit Pole reported in Suburban,INCIDENT,Car Hit Pole,Vehicle collision with utility pole,37.52160188,-122.33774062,157,UTIL1145,,,50 ft,YES,YES,"37.52160188, -122.33774062",Suburban,UTIL,UTIL1145,Medium
Leaning Pole reported in Industrial,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.53343284,-122.33840533,81,UTIL1146,,,50 ft,YES,YES,"37.53343284, -122.33840533",Industrial,UTIL,UTIL1146,Low
Meter Inspection reported in Seaside,INCIDENT,Meter Inspection,Routine inspection of residential meters,37.52496232,-122.32860366,29,UTIL1147,,,50 ft,YES,YES,"37.52496232, -122.32860366",Seaside,UTIL,UTIL1147,High
Breaker Operation reported in Suburban,INCIDENT,Breaker Operation,Unexpected breaker trip detected,37.5265745,-122.32130727,38,UTIL1148,,,50 ft,YES,YES,"37.5265745, -122.32130727",Suburban,UTIL,UTIL1148,Low
Gas Leak reported in Seaside,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.53836759,-122.32841013,35,UTIL1149,,,50 ft,YES,YES,"37.53836759, -122.32841013",Seaside,UTIL,UTIL1149,Medium
Low Wire reported in Downtown,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.53500494,-122.33671248,78,UTIL1150,,,50 ft,YES,YES,"37.53500494, -122.33671248",Downtown,UTIL,UTIL1150,High
Switch Malfunction reported in Seaside,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.53947239,-122.33991357,122,UTIL1151,,,50 ft,YES,YES,"37.53947239, -122.33991357",Seaside,UTIL,UTIL1151,Critical
Gas Leak reported in Suburban,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.52538965,-122.3203451,162,UTIL1152,,,50 ft,YES,YES,"37.52538965, -122.3203451",Suburban,UTIL,UTIL1152,Medium
Voltage Irregularity reported in Downtown,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.53071733,-122.33124897,94,UTIL1153,,,50 ft,YES,YES,"37.53071733, -122.33124897",Downtown,UTIL,UTIL1153,Low
Transformer Failure reported in Seaside,INCIDENT,Transformer Failure,Multiple customers without power,37.53743061,-122.32554486,193,UTIL1154,,,50 ft,YES,YES,"37.53743061, -122.32554486",Seaside,UTIL,UTIL1154,Critical
Fuse Blown reported in Central,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.5204707,-122.32151676,16,UTIL1155,,,50 ft,YES,YES,"37.5204707, -122.32151676",Central,UTIL,UTIL1155,Critical
Leaning Pole reported in Seaside,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.53354057,-122.32414953,106,UTIL1156,,,50 ft,YES,YES,"37.53354057, -122.32414953",Seaside,UTIL,UTIL1156,Low
Equipment Failure reported in Uptown,INCIDENT,Equipment Failure,Component failure at distribution station,37.53860021,-122.32502894,137,UTIL1157,,,50 ft,YES,YES,"37.53860021, -122.32502894",Uptown,UTIL,UTIL1157,Low
Switch Malfunction reported in Industrial,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.52513388,-122.32244447,111,UTIL1158,,,50 ft,YES,YES,"37.52513388, -122.32244447",Industrial,UTIL,UTIL1158,Medium
Fuse Blown reported in Industrial,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.5391656,-122.32340967,160,UTIL1159,,,50 ft,YES,YES,"37.5391656, -122.32340967",Industrial,UTIL,UTIL1159,Medium
Gas Leak reported in Rural,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.53764397,-122.32694892,21,UTIL1160,,,50 ft,YES,YES,"37.53764397, -122.32694892",Rural,UTIL,UTIL1160,Medium
Tree Encroachment reported in Rural,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.53769127,-122.32213431,114,UTIL1161,,,50 ft,YES,YES,"37.53769127, -122.32213431",Rural,UTIL,UTIL1161,Low
Gas Leak reported in Downtown,INCIDENT,Gas Leak,Possible gas leak detected near utility site,37.53789209,-122.32045921,107,UTIL1162,,,50 ft,YES,YES,"37.53789209, -122.32045921",Downtown,UTIL,UTIL1162,High
Car Hit Pole reported in Suburban,INCIDENT,Car Hit Pole,Vehicle collision with utility pole,37.52955044,-122.32307751,199,UTIL1163,,,50 ft,YES,YES,"37.52955044, -122.32307751",Suburban,UTIL,UTIL1163,Low
Switch Malfunction reported in Rural,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.53675489,-122.33742233,68,UTIL1164,,,50 ft,YES,YES,"37.53675489, -122.33742233",Rural,UTIL,UTIL1164,High
Fuse Blown reported in Suburban,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.53371686,-122.33091987,34,UTIL1165,,,50 ft,YES,YES,"37.53371686, -122.33091987",Suburban,UTIL,UTIL1165,High
Transformer Failure reported in Industrial,INCIDENT,Transformer Failure,Multiple customers without power,37.52768265,-122.32861195,139,UTIL1166,,,50 ft,YES,YES,"37.52768265, -122.32861195",Industrial,UTIL,UTIL1166,Low
Equipment Failure reported in Industrial,INCIDENT,Equipment Failure,Component failure at distribution station,37.53198821,-122.3360959,187,UTIL1167,,,50 ft,YES,YES,"37.53198821, -122.3360959",Industrial,UTIL,UTIL1167,High
Tree Encroachment reported in Seaside,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.52592639,-122.3311592,161,UTIL1168,,,50 ft,YES,YES,"37.52592639, -122.3311592",Seaside,UTIL,UTIL1168,Critical
Switch Malfunction reported in Central,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.52825359,-122.33697845,128,UTIL1169,,,50 ft,YES,YES,"37.52825359, -122.33697845",Central,UTIL,UTIL1169,Critical
Transformer Failure reported in Suburban,INCIDENT,Transformer Failure,Multiple customers without power,37.52904302,-122.33788301,175,UTIL1170,,,50 ft,YES,YES,"37.52904302, -122.33788301",Suburban,UTIL,UTIL1170,Critical
Switch Malfunction reported in Seaside,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.53627132,-122.33932691,61,UTIL1171,,,50 ft,YES,YES,"37.53627132, -122.33932691",Seaside,UTIL,UTIL1171,Critical
Meter Inspection reported in Uptown,INCIDENT,Meter Inspection,Routine inspection of residential meters,37.52731014,-122.33966201,12,UTIL1172,,,50 ft,YES,YES,"37.52731014, -122.33966201",Uptown,UTIL,UTIL1172,Critical
Routine Inspection reported in Downtown,INCIDENT,Routine Inspection,Scheduled maintenance check,37.52902836,-122.32025561,46,UTIL1173,,,50 ft,YES,YES,"37.52902836, -122.32025561",Downtown,UTIL,UTIL1173,Medium
Leaning Pole reported in Suburban,INCIDENT,Leaning Pole,"Utility pole reported leaning, needs assessment",37.5224518,-122.32519377,124,UTIL1174,,,50 ft,YES,YES,"37.5224518, -122.32519377",Suburban,UTIL,UTIL1174,Low
Tree Encroachment reported in Downtown,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.5272337,-122.3367758,119,UTIL1175,,,50 ft,YES,YES,"37.5272337, -122.3367758",Downtown,UTIL,UTIL1175,Low
Routine Inspection reported in Industrial,INCIDENT,Routine Inspection,Scheduled maintenance check,37.5315722,-122.32686603,106,UTIL1176,,,50 ft,YES,YES,"37.5315722, -122.32686603",Industrial,UTIL,UTIL1176,Critical
Car Hit Pole reported in Uptown,INCIDENT,Car Hit Pole,Vehicle collision with utility pole,37.53658658,-122.33537689,150,UTIL1177,,,50 ft,YES,YES,"37.53658658, -122.33537689",Uptown,UTIL,UTIL1177,Low
Tree Encroachment reported in Downtown,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.52540686,-122.32122212,154,UTIL1178,,,50 ft,YES,YES,"37.52540686, -122.32122212",Downtown,UTIL,UTIL1178,Critical
Routine Inspection reported in Suburban,INCIDENT,Routine Inspection,Scheduled maintenance check,37.52898117,-122.32038382,123,UTIL1179,,,50 ft,YES,YES,"37.52898117, -122.32038382",Suburban,UTIL,UTIL1179,High
Switch Malfunction reported in Suburban,INCIDENT,Switch Malfunction,Switch showing irregular voltage readings,37.5214245,-122.33768335,158,UTIL1180,,,50 ft,YES,YES,"37.5214245, -122.33768335",Suburban,UTIL,UTIL1180,Critical
Low Wire reported in Uptown,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.5360506,-122.33602495,43,UTIL1181,,,50 ft,YES,YES,"37.5360506, -122.33602495",Uptown,UTIL,UTIL1181,Low
Equipment Failure reported in Suburban,INCIDENT,Equipment Failure,Component failure at distribution station,37.53864279,-122.32431344,200,UTIL1182,,,50 ft,YES,YES,"37.53864279, -122.32431344",Suburban,UTIL,UTIL1182,Critical
Car Hit Pole reported in Rural,INCIDENT,Car Hit Pole,Vehicle collision with utility pole,37.53189373,-122.32862088,89,UTIL1183,,,50 ft,YES,YES,"37.53189373, -122.32862088",Rural,UTIL,UTIL1183,High
Routine Inspection reported in Central,INCIDENT,Routine Inspection,Scheduled maintenance check,37.53867377,-122.33599819,126,UTIL1184,,,50 ft,YES,YES,"37.53867377, -122.33599819",Central,UTIL,UTIL1184,Critical
Low Wire reported in Seaside,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.52992882,-122.33281465,16,UTIL1185,,,50 ft,YES,YES,"37.52992882, -122.33281465",Seaside,UTIL,UTIL1185,Critical
Routine Inspection reported in Industrial,INCIDENT,Routine Inspection,Scheduled maintenance check,37.52091231,-122.32122055,40,UTIL1186,,,50 ft,YES,YES,"37.52091231, -122.32122055",Industrial,UTIL,UTIL1186,High
Storm Damage reported in Rural,INCIDENT,Storm Damage,Power infrastructure damaged by severe weather,37.53258164,-122.32865031,157,UTIL1187,,,50 ft,YES,YES,"37.53258164, -122.32865031",Rural,UTIL,UTIL1187,Medium
Car Hit Pole reported in Central,INCIDENT,Car Hit Pole,Vehicle collision with utility pole,37.52415784,-122.33475083,90,UTIL1188,,,50 ft,YES,YES,"37.52415784, -122.33475083",Central,UTIL,UTIL1188,Critical
Voltage Irregularity reported in Rural,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.53199788,-122.32540269,103,UTIL1189,,,50 ft,YES,YES,"37.53199788, -122.32540269",Rural,UTIL,UTIL1189,Medium
Transformer Failure reported in Seaside,INCIDENT,Transformer Failure,Multiple customers without power,37.52285849,-122.32728287,137,UTIL1190,,,50 ft,YES,YES,"37.52285849, -122.32728287",Seaside,UTIL,UTIL1190,Low
Substation Fire reported in Central,INCIDENT,Substation Fire,"Smoke reported at substation, emergency response needed",37.52146686,-122.32954724,76,UTIL1191,,,50 ft,YES,YES,"37.52146686, -122.32954724",Central,UTIL,UTIL1191,Low
Tree Encroachment reported in Uptown,INCIDENT,Tree Encroachment,Vegetation near power lines requiring trimming,37.52166806,-122.33324947,170,UTIL1192,,,50 ft,YES,YES,"37.52166806, -122.33324947",Uptown,UTIL,UTIL1192,Critical
Fuse Blown reported in Suburban,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.5287563,-122.32984393,16,UTIL1193,,,50 ft,YES,YES,"37.5287563, -122.32984393",Suburban,UTIL,UTIL1193,Medium
Fuse Blown reported in Uptown,INCIDENT,Fuse Blown,Fuse replacement required at service point,37.52387051,-122.33583791,133,UTIL1194,,,50 ft,YES,YES,"37.52387051, -122.33583791",Uptown,UTIL,UTIL1194,High
Low Wire reported in Rural,INCIDENT,Low Wire,Low-hanging wire posing potential hazard,37.52766178,-122.33879421,193,UTIL1195,,,50 ft,YES,YES,"37.52766178, -122.33879421",Rural,UTIL,UTIL1195,Low
Transformer Explosion reported in Rural,INCIDENT,Transformer Explosion,Transformer explosion with fire risk,37.52487302,-122.32249845,94,UTIL1196,,,50 ft,YES,YES,"37.52487302, -122.32249845",Rural,UTIL,UTIL1196,Medium
Equipment Failure reported in Downtown,INCIDENT,Equipment Failure,Component failure at distribution station,37.52704031,-122.32099436,103,UTIL1197,,,50 ft,YES,YES,"37.52704031, -122.32099436",Downtown,UTIL,UTIL1197,High
Storm Damage reported in Central,INCIDENT,Storm Damage,Power infrastructure damaged by severe weather,37.53430474,-122.33718197,54,UTIL1198,,,50 ft,YES,YES,"37.53430474, -122.33718197",Central,UTIL,UTIL1198,Medium
Storm Damage reported in Industrial,INCIDENT,Storm Damage,Power infrastructure damaged by severe weather,37.53417202,-122.33103312,41,UTIL1199,,,50 ft,YES,YES,"37.53417202, -122.33103312",Industrial,UTIL,UTIL1199,High
Storm Damage reported in Seaside,INCIDENT,Storm Damage,Power infrastructure damaged by severe weather,37.52456642,-122.3294937,17,UTIL1200,,,50 ft,YES,YES,"37.52456642, -122.3294937",Seaside,UTIL,UTIL1200,High
Voltage Irregularity reported in Industrial,INCIDENT,Voltage Irregularity,Reports of voltage fluctuations in area,37.5272397,-122.32624718,106,UTIL1201,,,50 ft,YES,YES,"37.5272397, -122.32624718",Industrial,UTIL,UTIL1201,High
