GD Note,TYPE,TITLE,DESCRIPTION,LATITUDE,LONGITUDE,DELAY,EXTERNALID,UUID,Desired Altitude,Alert on Map Screen,AR Marker,Coordinates for maps,AREA,CODE,INCIDENT_ID,PRIORITY
Hostage Situation reported in Uptown,INCIDENT,10-05 - Hostage Situation,Reported hostage situation at location. Additional details unknown.,37.53750861,-122.33504985,,,,50 ft,YES,YES,"37.53750861, -122.33504985",Uptown,10-05,INC883,Medium
Drug Activity Reported reported in Suburban,INCIDENT,10-11 - Drug Activity Reported,Reported drug activity reported at location. Additional details unknown.,37.53144471,-122.33319802,,,,50 ft,YES,YES,"37.53144471, -122.33319802",Suburban,10-11,INC884,Low
Chemical Spill reported in Seaside,INCIDENT,10-35 - Chemical Spill,Reported chemical spill at location. Additional details unknown.,37.53293233,-122.33446975,,,,50 ft,YES,YES,"37.53293233, -122.33446975",Seaside,10-35,INC885,Low
Collapsed Building reported in Downtown,INCIDENT,10-48 - Collapsed Building,Reported collapsed building at location. Additional details unknown.,37.53230876,-122.32314293,,,,50 ft,YES,YES,"37.53230876, -122.32314293",Downtown,10-48,INC886,Medium
Street Racing Incident reported in Industrial,INCIDENT,10-17 - Street Racing Incident,Reported street racing incident at location. Additional details unknown.,37.53954789,-122.32700412,,,,50 ft,YES,YES,"37.53954789, -122.32700412",Industrial,10-17,INC887,Low
Structure Fire reported in Uptown,INCIDENT,10-07 - Structure Fire,Reported structure fire at location. Additional details unknown.,37.52459318,-122.33252345,,,,50 ft,YES,YES,"37.52459318, -122.33252345",Uptown,10-07,INC888,High
Cyber Crime reported in Downtown,INCIDENT,10-32 - Cyber Crime,Reported cyber crime at location. Additional details unknown.,37.52999617,-122.33720466,,,,50 ft,YES,YES,"37.52999617, -122.33720466",Downtown,10-32,INC889,Medium
Mudslide Reported reported in Seaside,INCIDENT,10-38 - Mudslide Reported,Reported mudslide reported at location. Additional details unknown.,37.53092061,-122.32164815,,,,50 ft,YES,YES,"37.53092061, -122.32164815",Seaside,10-38,INC890,High
Hit-and-Run Accident reported in Uptown,INCIDENT,10-23 - Hit-and-Run Accident,Reported hit-and-run accident at location. Additional details unknown.,37.52656926,-122.33898607,,,,50 ft,YES,YES,"37.52656926, -122.33898607",Uptown,10-23,INC891,Low
Medical Emergency - Minor reported in Rural,INCIDENT,10-10 - Medical Emergency - Minor,Reported medical emergency - minor at location. Additional details unknown.,37.52307515,-122.32052492,,,,50 ft,YES,YES,"37.52307515, -122.32052492",Rural,10-10,INC892,Critical
Landslide Reported reported in Downtown,INCIDENT,10-42 - Landslide Reported,Reported landslide reported at location. Additional details unknown.,37.53181336,-122.3261747,,,,50 ft,YES,YES,"37.53181336, -122.3261747",Downtown,10-42,INC893,Low
Landslide Reported reported in Industrial,INCIDENT,10-42 - Landslide Reported,Reported landslide reported at location. Additional details unknown.,37.52405487,-122.32292924,,,,50 ft,YES,YES,"37.52405487, -122.32292924",Industrial,10-42,INC894,Low
Noise Complaint reported in Seaside,INCIDENT,10-28 - Noise Complaint,Reported noise complaint at location. Additional details unknown.,37.53682481,-122.33684243,,,,50 ft,YES,YES,"37.53682481, -122.33684243",Seaside,10-28,INC895,High
Avalanche Risk reported in Rural,INCIDENT,10-41 - Avalanche Risk,Reported avalanche risk at location. Additional details unknown.,37.53158511,-122.32409142,,,,50 ft,YES,YES,"37.53158511, -122.32409142",Rural,10-41,INC896,High
Suspicious Package reported in Seaside,INCIDENT,10-12 - Suspicious Package,Reported suspicious package at location. Additional details unknown.,37.52370578,-122.32135039,,,,50 ft,YES,YES,"37.52370578, -122.32135039",Seaside,10-12,INC897,Medium
Gunshots Heard reported in Suburban,INCIDENT,10-13 - Gunshots Heard,Reported gunshots heard at location. Additional details unknown.,37.5335794,-122.32989727,,,,50 ft,YES,YES,"37.5335794, -122.32989727",Suburban,10-13,INC898,High
Chemical Spill reported in Industrial,INCIDENT,10-35 - Chemical Spill,Reported chemical spill at location. Additional details unknown.,37.52420905,-122.33701123,,,,50 ft,YES,YES,"37.52420905, -122.33701123",Industrial,10-35,INC899,Critical
Sinkhole Formation reported in Suburban,INCIDENT,10-44 - Sinkhole Formation,Reported sinkhole formation at location. Additional details unknown.,37.5205352,-122.32232394,,,,50 ft,YES,YES,"37.5205352, -122.32232394",Suburban,10-44,INC900,Critical
Collapsed Building reported in Uptown,INCIDENT,10-48 - Collapsed Building,Reported collapsed building at location. Additional details unknown.,37.53504333,-122.32582638,,,,50 ft,YES,YES,"37.53504333, -122.32582638",Uptown,10-48,INC901,High
Drowning Incident reported in Industrial,INCIDENT,10-47 - Drowning Incident,Reported drowning incident at location. Additional details unknown.,37.52171837,-122.32184979,,,,50 ft,YES,YES,"37.52171837, -122.32184979",Industrial,10-47,INC902,Low
Suspicious Package reported in Seaside,INCIDENT,10-12 - Suspicious Package,Reported suspicious package at location. Additional details unknown.,37.53266532,-122.33316111,,,,50 ft,YES,YES,"37.53266532, -122.33316111",Seaside,10-12,INC903,Critical
Severe Weather Alert reported in Downtown,INCIDENT,10-43 - Severe Weather Alert,Reported severe weather alert at location. Additional details unknown.,37.52366167,-122.3388775,,,,50 ft,YES,YES,"37.52366167, -122.3388775",Downtown,10-43,INC904,Medium
Flooding Reported reported in Central,INCIDENT,10-40 - Flooding Reported,Reported flooding reported at location. Additional details unknown.,37.53216169,-122.32817243,,,,50 ft,YES,YES,"37.53216169, -122.32817243",Central,10-40,INC905,Critical
Structure Fire reported in Industrial,INCIDENT,10-07 - Structure Fire,Reported structure fire at location. Additional details unknown.,37.5357364,-122.32251599,,,,50 ft,YES,YES,"37.5357364, -122.32251599",Industrial,10-07,INC906,High
Attempted Kidnapping reported in Rural,INCIDENT,10-15 - Attempted Kidnapping,Reported attempted kidnapping at location. Additional details unknown.,37.5336149,-122.32777532,,,,50 ft,YES,YES,"37.5336149, -122.32777532",Rural,10-15,INC907,Critical
Vandalism in Progress reported in Central,INCIDENT,10-14 - Vandalism in Progress,Reported vandalism in progress at location. Additional details unknown.,37.53281474,-122.33013811,,,,50 ft,YES,YES,"37.53281474, -122.33013811",Central,10-14,INC908,Medium
Explosion Reported reported in Downtown,INCIDENT,10-06 - Explosion Reported,Reported explosion reported at location. Additional details unknown.,37.53183896,-122.33166718,,,,50 ft,YES,YES,"37.53183896, -122.33166718",Downtown,10-06,INC909,Low
Landslide Reported reported in Central,INCIDENT,10-42 - Landslide Reported,Reported landslide reported at location. Additional details unknown.,37.52109571,-122.32795864,,,,50 ft,YES,YES,"37.52109571, -122.32795864",Central,10-42,INC910,Medium
Noise Complaint reported in Central,INCIDENT,10-28 - Noise Complaint,Reported noise complaint at location. Additional details unknown.,37.52966634,-122.33885393,,,,50 ft,YES,YES,"37.52966634, -122.33885393",Central,10-28,INC911,Critical
Medical Emergency - Minor reported in Industrial,INCIDENT,10-10 - Medical Emergency - Minor,Reported medical emergency - minor at location. Additional details unknown.,37.53734265,-122.33119249,,,,50 ft,YES,YES,"37.53734265, -122.33119249",Industrial,10-10,INC912,Critical
Street Racing Incident reported in Rural,INCIDENT,10-17 - Street Racing Incident,Reported street racing incident at location. Additional details unknown.,37.53439718,-122.32140498,,,,50 ft,YES,YES,"37.53439718, -122.32140498",Rural,10-17,INC913,Low
Drug Activity Reported reported in Rural,INCIDENT,10-11 - Drug Activity Reported,Reported drug activity reported at location. Additional details unknown.,37.53531008,-122.33121923,,,,50 ft,YES,YES,"37.53531008, -122.33121923",Rural,10-11,INC914,Critical
Radiation Alert reported in Central,INCIDENT,10-36 - Radiation Alert,Reported radiation alert at location. Additional details unknown.,37.53185031,-122.33874683,,,,50 ft,YES,YES,"37.53185031, -122.33874683",Central,10-36,INC915,Medium
Wildfire Spotted reported in Suburban,INCIDENT,10-46 - Wildfire Spotted,Reported wildfire spotted at location. Additional details unknown.,37.53050268,-122.3311631,,,,50 ft,YES,YES,"37.53050268, -122.3311631",Suburban,10-46,INC916,High
Armed Robbery reported in Suburban,INCIDENT,10-03 - Armed Robbery,Reported armed robbery at location. Additional details unknown.,37.53934537,-122.32936727,,,,50 ft,YES,YES,"37.53934537, -122.32936727",Suburban,10-03,INC917,Medium
Cyber Crime reported in Suburban,INCIDENT,10-32 - Cyber Crime,Reported cyber crime at location. Additional details unknown.,37.52137955,-122.3316854,,,,50 ft,YES,YES,"37.52137955, -122.3316854",Suburban,10-32,INC918,Medium
Explosion Reported reported in Industrial,INCIDENT,10-06 - Explosion Reported,Reported explosion reported at location. Additional details unknown.,37.52948168,-122.33327052,,,,50 ft,YES,YES,"37.52948168, -122.33327052",Industrial,10-06,INC919,Medium
Public Intoxication reported in Rural,INCIDENT,10-25 - Public Intoxication,Reported public intoxication at location. Additional details unknown.,37.52623996,-122.33428716,,,,50 ft,YES,YES,"37.52623996, -122.33428716",Rural,10-25,INC920,Medium
Tornado Warning reported in Downtown,INCIDENT,10-39 - Tornado Warning,Reported tornado warning at location. Additional details unknown.,37.53234679,-122.3286202,,,,50 ft,YES,YES,"37.53234679, -122.3286202",Downtown,10-39,INC921,High
Chemical Spill reported in Suburban,INCIDENT,10-35 - Chemical Spill,Reported chemical spill at location. Additional details unknown.,37.52654457,-122.33465124,,,,50 ft,YES,YES,"37.52654457, -122.33465124",Suburban,10-35,INC922,Medium
Chemical Spill reported in Downtown,INCIDENT,10-35 - Chemical Spill,Reported chemical spill at location. Additional details unknown.,37.5225288,-122.32181882,,,,50 ft,YES,YES,"37.5225288, -122.32181882",Downtown,10-35,INC923,Critical
Tornado Warning reported in Downtown,INCIDENT,10-39 - Tornado Warning,Reported tornado warning at location. Additional details unknown.,37.52608398,-122.32490452,,,,50 ft,YES,YES,"37.52608398, -122.32490452",Downtown,10-39,INC924,High
Animal Attack reported in Suburban,INCIDENT,10-20 - Animal Attack,Reported animal attack at location. Additional details unknown.,37.53397663,-122.32913363,,,,50 ft,YES,YES,"37.53397663, -122.32913363",Suburban,10-20,INC925,Low
Road Hazard reported in Industrial,INCIDENT,10-21 - Road Hazard,Reported road hazard at location. Additional details unknown.,37.53239113,-122.32304295,,,,50 ft,YES,YES,"37.53239113, -122.32304295",Industrial,10-21,INC926,Critical
Wildfire Spotted reported in Suburban,INCIDENT,10-46 - Wildfire Spotted,Reported wildfire spotted at location. Additional details unknown.,37.52726414,-122.33761311,,,,50 ft,YES,YES,"37.52726414, -122.33761311",Suburban,10-46,INC927,Medium
Flooding Reported reported in Industrial,INCIDENT,10-40 - Flooding Reported,Reported flooding reported at location. Additional details unknown.,37.52055412,-122.33242694,,,,50 ft,YES,YES,"37.52055412, -122.33242694",Industrial,10-40,INC928,Medium
Noise Complaint reported in Downtown,INCIDENT,10-28 - Noise Complaint,Reported noise complaint at location. Additional details unknown.,37.52297229,-122.32552838,,,,50 ft,YES,YES,"37.52297229, -122.32552838",Downtown,10-28,INC929,Critical
Armed Robbery reported in Rural,INCIDENT,10-03 - Armed Robbery,Reported armed robbery at location. Additional details unknown.,37.53565238,-122.32944896,,,,50 ft,YES,YES,"37.53565238, -122.32944896",Rural,10-03,INC930,Medium
Underage Drinking reported in Rural,INCIDENT,10-29 - Underage Drinking,Reported underage drinking at location. Additional details unknown.,37.53221725,-122.33041018,,,,50 ft,YES,YES,"37.53221725, -122.33041018",Rural,10-29,INC931,High
Hostage Situation reported in Industrial,INCIDENT,10-05 - Hostage Situation,Reported hostage situation at location. Additional details unknown.,37.52356448,-122.33676088,,,,50 ft,YES,YES,"37.52356448, -122.33676088",Industrial,10-05,INC932,Medium
Road Hazard reported in Central,INCIDENT,10-21 - Road Hazard,Reported road hazard at location. Additional details unknown.,37.52939972,-122.32116666,,,,50 ft,YES,YES,"37.52939972, -122.32116666",Central,10-21,INC933,High
Hit-and-Run Accident reported in Suburban,INCIDENT,10-23 - Hit-and-Run Accident,Reported hit-and-run accident at location. Additional details unknown.,37.53976181,-122.32849934,,,,50 ft,YES,YES,"37.53976181, -122.32849934",Suburban,10-23,INC934,Critical
Attempted Suicide reported in Downtown,INCIDENT,10-31 - Attempted Suicide,Reported attempted suicide at location. Additional details unknown.,37.52273293,-122.32012142,,,,50 ft,YES,YES,"37.52273293, -122.32012142",Downtown,10-31,INC935,Critical
Structure Fire reported in Downtown,INCIDENT,10-07 - Structure Fire,Reported structure fire at location. Additional details unknown.,37.52935236,-122.32392862,,,,50 ft,YES,YES,"37.52935236, -122.32392862",Downtown,10-07,INC936,Low
Medical Emergency - Minor reported in Downtown,INCIDENT,10-10 - Medical Emergency - Minor,Reported medical emergency - minor at location. Additional details unknown.,37.5227063,-122.33194368,,,,50 ft,YES,YES,"37.5227063, -122.33194368",Downtown,10-10,INC937,Critical
Attempted Kidnapping reported in Industrial,INCIDENT,10-15 - Attempted Kidnapping,Reported attempted kidnapping at location. Additional details unknown.,37.5204544,-122.32754704,,,,50 ft,YES,YES,"37.5204544, -122.32754704",Industrial,10-15,INC938,High
Burglary in Progress reported in Suburban,INCIDENT,10-02 - Burglary in Progress,Reported burglary in progress at location. Additional details unknown.,37.53945902,-122.32603498,,,,50 ft,YES,YES,"37.53945902, -122.32603498",Suburban,10-02,INC939,High
Chemical Spill reported in Central,INCIDENT,10-35 - Chemical Spill,Reported chemical spill at location. Additional details unknown.,37.5361853,-122.33991427,,,,50 ft,YES,YES,"37.5361853, -122.33991427",Central,10-35,INC940,Low
Vehicle Pursuit reported in Suburban,INCIDENT,10-22 - Vehicle Pursuit,Reported vehicle pursuit at location. Additional details unknown.,37.52644785,-122.33424236,,,,50 ft,YES,YES,"37.52644785, -122.33424236",Suburban,10-22,INC941,High
Unattended Luggage reported in Industrial,INCIDENT,10-26 - Unattended Luggage,Reported unattended luggage at location. Additional details unknown.,37.53805739,-122.32752809,,,,50 ft,YES,YES,"37.53805739, -122.32752809",Industrial,10-26,INC942,High
Wildfire Spotted reported in Suburban,INCIDENT,10-46 - Wildfire Spotted,Reported wildfire spotted at location. Additional details unknown.,37.53925823,-122.32044412,,,,50 ft,YES,YES,"37.53925823, -122.32044412",Suburban,10-46,INC943,Critical
Suspicious Package reported in Seaside,INCIDENT,10-12 - Suspicious Package,Reported suspicious package at location. Additional details unknown.,37.52372693,-122.33919291,,,,50 ft,YES,YES,"37.52372693, -122.33919291",Seaside,10-12,INC944,Medium
Landslide Reported reported in Uptown,INCIDENT,10-42 - Landslide Reported,Reported landslide reported at location. Additional details unknown.,37.52606802,-122.32610527,,,,50 ft,YES,YES,"37.52606802, -122.32610527",Uptown,10-42,INC945,Critical
Drug Activity Reported reported in Downtown,INCIDENT,10-11 - Drug Activity Reported,Reported drug activity reported at location. Additional details unknown.,37.52632341,-122.3352343,,,,50 ft,YES,YES,"37.52632341, -122.3352343",Downtown,10-11,INC946,Low
Avalanche Risk reported in Seaside,INCIDENT,10-41 - Avalanche Risk,Reported avalanche risk at location. Additional details unknown.,37.53615948,-122.33681427,,,,50 ft,YES,YES,"37.53615948, -122.33681427",Seaside,10-41,INC947,High
Sinkhole Formation reported in Central,INCIDENT,10-44 - Sinkhole Formation,Reported sinkhole formation at location. Additional details unknown.,37.5396434,-122.3339334,,,,50 ft,YES,YES,"37.5396434, -122.3339334",Central,10-44,INC948,Critical
Animal Attack reported in Suburban,INCIDENT,10-20 - Animal Attack,Reported animal attack at location. Additional details unknown.,37.52201272,-122.33588675,,,,50 ft,YES,YES,"37.52201272, -122.33588675",Suburban,10-20,INC949,Critical
Animal Attack reported in Uptown,INCIDENT,10-20 - Animal Attack,Reported animal attack at location. Additional details unknown.,37.52254566,-122.33797632,,,,50 ft,YES,YES,"37.52254566, -122.33797632",Uptown,10-20,INC950,Low
Domestic Dispute reported in Uptown,INCIDENT,10-19 - Domestic Dispute,Reported domestic dispute at location. Additional details unknown.,37.53450156,-122.32396458,,,,50 ft,YES,YES,"37.53450156, -122.32396458",Uptown,10-19,INC951,Critical
Bridge Collapse reported in Uptown,INCIDENT,10-37 - Bridge Collapse,Reported bridge collapse at location. Additional details unknown.,37.53240782,-122.33995846,,,,50 ft,YES,YES,"37.53240782, -122.33995846",Uptown,10-37,INC952,Low
Noise Complaint reported in Industrial,INCIDENT,10-28 - Noise Complaint,Reported noise complaint at location. Additional details unknown.,37.53556442,-122.33631762,,,,50 ft,YES,YES,"37.53556442, -122.33631762",Industrial,10-28,INC953,Medium
Gas Leak reported in Uptown,INCIDENT,10-08 - Gas Leak,Reported gas leak at location. Additional details unknown.,37.52177551,-122.32010448,,,,50 ft,YES,YES,"37.52177551, -122.32010448",Uptown,10-08,INC954,Low
Attempted Kidnapping reported in Suburban,INCIDENT,10-15 - Attempted Kidnapping,Reported attempted kidnapping at location. Additional details unknown.,37.53666927,-122.32736145,,,,50 ft,YES,YES,"37.53666927, -122.32736145",Suburban,10-15,INC955,Low
Drowning Incident reported in Uptown,INCIDENT,10-47 - Drowning Incident,Reported drowning incident at location. Additional details unknown.,37.53799482,-122.33212566,,,,50 ft,YES,YES,"37.53799482, -122.33212566",Uptown,10-47,INC956,Medium
Burglary in Progress reported in Suburban,INCIDENT,10-02 - Burglary in Progress,Reported burglary in progress at location. Additional details unknown.,37.5365701,-122.33480174,,,,50 ft,YES,YES,"37.5365701, -122.33480174",Suburban,10-02,INC957,High
Attempted Kidnapping reported in Uptown,INCIDENT,10-15 - Attempted Kidnapping,Reported attempted kidnapping at location. Additional details unknown.,37.53657947,-122.33294853,,,,50 ft,YES,YES,"37.53657947, -122.33294853",Uptown,10-15,INC958,High
Hit-and-Run Accident reported in Seaside,INCIDENT,10-23 - Hit-and-Run Accident,Reported hit-and-run accident at location. Additional details unknown.,37.53043562,-122.32917383,,,,50 ft,YES,YES,"37.53043562, -122.32917383",Seaside,10-23,INC959,Critical
Riot or Large Protest reported in Industrial,INCIDENT,10-33 - Riot or Large Protest,Reported riot or large protest at location. Additional details unknown.,37.52129889,-122.33946973,,,,50 ft,YES,YES,"37.52129889, -122.33946973",Industrial,10-33,INC960,High
Burglary in Progress reported in Seaside,INCIDENT,10-02 - Burglary in Progress,Reported burglary in progress at location. Additional details unknown.,37.52046063,-122.3345321,,,,50 ft,YES,YES,"37.52046063, -122.3345321",Seaside,10-02,INC961,Low
Road Hazard reported in Rural,INCIDENT,10-21 - Road Hazard,Reported road hazard at location. Additional details unknown.,37.53473024,-122.32956368,,,,50 ft,YES,YES,"37.53473024, -122.32956368",Rural,10-21,INC962,Low
Gas Leak reported in Suburban,INCIDENT,10-08 - Gas Leak,Reported gas leak at location. Additional details unknown.,37.52402315,-122.32662858,,,,50 ft,YES,YES,"37.52402315, -122.32662858",Suburban,10-08,INC963,High
Request for Backup reported in Central,INCIDENT,10-01 - Request for Backup,Reported request for backup at location. Additional details unknown.,37.52914032,-122.32983306,,,,50 ft,YES,YES,"37.52914032, -122.32983306",Central,10-01,INC964,High
Vehicle Breakdown reported in Seaside,INCIDENT,10-50 - Vehicle Breakdown,Reported vehicle breakdown at location. Additional details unknown.,37.52848744,-122.32336662,,,,50 ft,YES,YES,"37.52848744, -122.32336662",Seaside,10-50,INC965,Critical
Traffic Stop - High Risk reported in Seaside,INCIDENT,10-04 - Traffic Stop - High Risk,Reported traffic stop - high risk at location. Additional details unknown.,37.53208236,-122.33624146,,,,50 ft,YES,YES,"37.53208236, -122.33624146",Seaside,10-04,INC966,High
Hit-and-Run Accident reported in Central,INCIDENT,10-23 - Hit-and-Run Accident,Reported hit-and-run accident at location. Additional details unknown.,37.5281868,-122.32445577,,,,50 ft,YES,YES,"37.5281868, -122.32445577",Central,10-23,INC967,Medium
Domestic Dispute reported in Downtown,INCIDENT,10-19 - Domestic Dispute,Reported domestic dispute at location. Additional details unknown.,37.53046107,-122.32165824,,,,50 ft,YES,YES,"37.53046107, -122.32165824",Downtown,10-19,INC968,Critical
Gunshots Heard reported in Downtown,INCIDENT,10-13 - Gunshots Heard,Reported gunshots heard at location. Additional details unknown.,37.52892543,-122.32299522,,,,50 ft,YES,YES,"37.52892543, -122.32299522",Downtown,10-13,INC969,Critical
Collapsed Building reported in Suburban,INCIDENT,10-48 - Collapsed Building,Reported collapsed building at location. Additional details unknown.,37.52567147,-122.3271521,,,,50 ft,YES,YES,"37.52567147, -122.3271521",Suburban,10-48,INC970,Medium
Avalanche Risk reported in Uptown,INCIDENT,10-41 - Avalanche Risk,Reported avalanche risk at location. Additional details unknown.,37.52871503,-122.33955627,,,,50 ft,YES,YES,"37.52871503, -122.33955627",Uptown,10-41,INC971,Critical
Landslide Reported reported in Seaside,INCIDENT,10-42 - Landslide Reported,Reported landslide reported at location. Additional details unknown.,37.53165687,-122.33148603,,,,50 ft,YES,YES,"37.53165687, -122.33148603",Seaside,10-42,INC972,High
Burglary in Progress reported in Central,INCIDENT,10-02 - Burglary in Progress,Reported burglary in progress at location. Additional details unknown.,37.52304089,-122.33763816,,,,50 ft,YES,YES,"37.52304089, -122.33763816",Central,10-02,INC973,Low
Gas Leak reported in Uptown,INCIDENT,10-08 - Gas Leak,Reported gas leak at location. Additional details unknown.,37.53998893,-122.32533364,,,,50 ft,YES,YES,"37.53998893, -122.32533364",Uptown,10-08,INC974,Medium
Trespassing Reported reported in Suburban,INCIDENT,10-16 - Trespassing Reported,Reported trespassing reported at location. Additional details unknown.,37.52851696,-122.3273132,,,,50 ft,YES,YES,"37.52851696, -122.3273132",Suburban,10-16,INC975,Low
Noise Complaint reported in Industrial,INCIDENT,10-28 - Noise Complaint,Reported noise complaint at location. Additional details unknown.,37.52600819,-122.33691278,,,,50 ft,YES,YES,"37.52600819, -122.33691278",Industrial,10-28,INC976,Critical
Medical Emergency - Critical reported in Suburban,INCIDENT,10-09 - Medical Emergency - Critical,Reported medical emergency - critical at location. Additional details unknown.,37.52307463,-122.3371894,,,,50 ft,YES,YES,"37.52307463, -122.3371894",Suburban,10-09,INC977,High
Drug Activity Reported reported in Suburban,INCIDENT,10-11 - Drug Activity Reported,Reported drug activity reported at location. Additional details unknown.,37.53623546,-122.33132059,,,,50 ft,YES,YES,"37.53623546, -122.33132059",Suburban,10-11,INC978,Medium
Road Hazard reported in Seaside,INCIDENT,10-21 - Road Hazard,Reported road hazard at location. Additional details unknown.,37.53695799,-122.32643676,,,,50 ft,YES,YES,"37.53695799, -122.32643676",Seaside,10-21,INC979,Critical
Road Hazard reported in Rural,INCIDENT,10-21 - Road Hazard,Reported road hazard at location. Additional details unknown.,37.5253021,-122.32057028,,,,50 ft,YES,YES,"37.5253021, -122.32057028",Rural,10-21,INC980,Low
Attempted Kidnapping reported in Central,INCIDENT,10-15 - Attempted Kidnapping,Reported attempted kidnapping at location. Additional details unknown.,37.53543721,-122.33288348,,,,50 ft,YES,YES,"37.53543721, -122.33288348",Central,10-15,INC981,Critical
Request for Backup reported in Rural,INCIDENT,10-01 - Request for Backup,Reported request for backup at location. Additional details unknown.,37.5266494,-122.32657458,,,,50 ft,YES,YES,"37.5266494, -122.32657458",Rural,10-01,INC982,Low
Domestic Dispute reported in Downtown,INCIDENT,10-19 - Domestic Dispute,Reported domestic dispute at location. Additional details unknown.,37.5220736,-122.32621864,,,,50 ft,YES,YES,"37.5220736, -122.32621864",Downtown,10-19,INC983,Medium
Chemical Spill reported in Downtown,INCIDENT,10-35 - Chemical Spill,Reported chemical spill at location. Additional details unknown.,37.53920641,-122.33337327,,,,50 ft,YES,YES,"37.53920641, -122.33337327",Downtown,10-35,INC984,High
Cyber Crime reported in Suburban,INCIDENT,10-32 - Cyber Crime,Reported cyber crime at location. Additional details unknown.,37.53945221,-122.33662881,,,,50 ft,YES,YES,"37.53945221, -122.33662881",Suburban,10-32,INC985,Medium
Riot or Large Protest reported in Uptown,INCIDENT,10-33 - Riot or Large Protest,Reported riot or large protest at location. Additional details unknown.,37.52291997,-122.33322992,,,,50 ft,YES,YES,"37.52291997, -122.33322992",Uptown,10-33,INC986,High
Chemical Spill reported in Central,INCIDENT,10-35 - Chemical Spill,Reported chemical spill at location. Additional details unknown.,37.52633599,-122.32541136,,,,50 ft,YES,YES,"37.52633599, -122.32541136",Central,10-35,INC987,Low
Wildfire Spotted reported in Seaside,INCIDENT,10-46 - Wildfire Spotted,Reported wildfire spotted at location. Additional details unknown.,37.52778189,-122.33730781,,,,50 ft,YES,YES,"37.52778189, -122.33730781",Seaside,10-46,INC988,Low
Collapsed Building reported in Suburban,INCIDENT,10-48 - Collapsed Building,Reported collapsed building at location. Additional details unknown.,37.53100833,-122.33292627,,,,50 ft,YES,YES,"37.53100833, -122.33292627",Suburban,10-48,INC989,Medium
Underage Drinking reported in Central,INCIDENT,10-29 - Underage Drinking,Reported underage drinking at location. Additional details unknown.,37.53320075,-122.32713523,,,,50 ft,YES,YES,"37.53320075, -122.32713523",Central,10-29,INC990,Medium
Gas Leak reported in Industrial,INCIDENT,10-08 - Gas Leak,Reported gas leak at location. Additional details unknown.,37.52750316,-122.3350439,,,,50 ft,YES,YES,"37.52750316, -122.3350439",Industrial,10-08,INC991,Low
Public Intoxication reported in Industrial,INCIDENT,10-25 - Public Intoxication,Reported public intoxication at location. Additional details unknown.,37.53627823,-122.33208572,,,,50 ft,YES,YES,"37.53627823, -122.33208572",Industrial,10-25,INC992,High
Collapsed Building reported in Uptown,INCIDENT,10-48 - Collapsed Building,Reported collapsed building at location. Additional details unknown.,37.52192429,-122.33289998,,,,50 ft,YES,YES,"37.52192429, -122.33289998",Uptown,10-48,INC993,High
Tornado Warning reported in Seaside,INCIDENT,10-39 - Tornado Warning,Reported tornado warning at location. Additional details unknown.,37.52059012,-122.32799655,,,,50 ft,YES,YES,"37.52059012, -122.32799655",Seaside,10-39,INC994,Low
Severe Weather Alert reported in Seaside,INCIDENT,10-43 - Severe Weather Alert,Reported severe weather alert at location. Additional details unknown.,37.52618411,-122.33856753,,,,50 ft,YES,YES,"37.52618411, -122.33856753",Seaside,10-43,INC995,Low
Chemical Spill reported in Industrial,INCIDENT,10-35 - Chemical Spill,Reported chemical spill at location. Additional details unknown.,37.53090242,-122.32784249,,,,50 ft,YES,YES,"37.53090242, -122.32784249",Industrial,10-35,INC996,High
Underage Drinking reported in Uptown,INCIDENT,10-29 - Underage Drinking,Reported underage drinking at location. Additional details unknown.,37.52986015,-122.33860555,,,,50 ft,YES,YES,"37.52986015, -122.33860555",Uptown,10-29,INC997,Medium
Structure Fire reported in Uptown,INCIDENT,10-07 - Structure Fire,Reported structure fire at location. Additional details unknown.,37.53205507,-122.32082125,,,,50 ft,YES,YES,"37.53205507, -122.32082125",Uptown,10-07,INC998,Medium
Vehicle Breakdown reported in Uptown,INCIDENT,10-50 - Vehicle Breakdown,Reported vehicle breakdown at location. Additional details unknown.,37.52486195,-122.33827448,,,,50 ft,YES,YES,"37.52486195, -122.33827448",Uptown,10-50,INC999,Critical
Street Racing Incident reported in Suburban,INCIDENT,10-17 - Street Racing Incident,Reported street racing incident at location. Additional details unknown.,37.52665572,-122.33029161,,,,50 ft,YES,YES,"37.52665572, -122.33029161",Suburban,10-17,INC1000,Critical
Request for Backup reported in Rural,INCIDENT,10-01 - Request for Backup,Reported request for backup at location. Additional details unknown.,37.53252377,-122.32713871,,,,50 ft,YES,YES,"37.53252377, -122.32713871",Rural,10-01,INC1001,Medium
Explosion Reported reported in Suburban,INCIDENT,10-06 - Explosion Reported,Reported explosion reported at location. Additional details unknown.,37.53891344,-122.32967231,,,,50 ft,YES,YES,"37.53891344, -122.32967231",Suburban,10-06,INC1002,Medium
Vehicle Pursuit reported in Uptown,INCIDENT,10-22 - Vehicle Pursuit,Reported vehicle pursuit at location. Additional details unknown.,37.52227354,-122.33930466,,,,50 ft,YES,YES,"37.52227354, -122.33930466",Uptown,10-22,INC1003,High
Tornado Warning reported in Downtown,INCIDENT,10-39 - Tornado Warning,Reported tornado warning at location. Additional details unknown.,37.53624703,-122.32281812,,,,50 ft,YES,YES,"37.53624703, -122.32281812",Downtown,10-39,INC1004,High
